"Year","Month","Day","MinOfOxygen","Derm5","Derm15","Derm30","Do5","Do15","Do30","Do.50","Hen.5","Hen5","Hen15","Met.5","Met5","Met15","Met30","Orth5","Orth15","Orth30","Para.5","Para5","Para15","Para30","Para.50","Pi.5","Pi5","Pi15","Pi30","Pi.50","Pyc.5","Pyc5","Pyc15","Pyc30","Pyc.50","Sol.5","Sol5","Sol15","Sol30","Urt.5","Urt5","Urt15","Urt30","Pteraster5","Pteraster15","Pter_sp5","Pter_sp15","SpinyStar5","SpinyStar15","BrittleStar0","BrittleStar5","BrittleStar15","Cucumaria5","WhiteDorid5","WhiteDorid15","Flabbelina0","Nudibranch_unid0","Nudibranch_unid5","Nudibranch_Armina5","PlumeWorm0","Subselliflorae5","Tethya0","Tethya5","TubeWorm0","Sipunculid0","Sipunculid5","Worm_unid0","Worm_unid5","Worm_unid15","Worm_unid30","Cancer0","Cancer5","Cancer15","Cancer30","Cancer_NoSize"
2000,8,24,0,0,0.002096035,0,0,0.002096035,0,0,0,0,0,0,0.081745376,0.010480176,0,0,0,0,0,0,0.002096035,0,0,0,0,0.002096035,0,0,0,0,0.002096035,0.002096035,0,0,0,0.002096035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006288106,0,0,0,0,0,0,0,0,0,0,0
2000,8,25,0,0,0,0,0.006305444,0.012610888,0,0,0,0.003152722,0,0.037832664,0.116650713,0,0,0,0.003152722,0,0,0.012610888,0.04729083,0.012610888,0,0,0.006305444,0.006305444,0,0,0,0,0,0,0,0,0,0,0,0,0.003152722,0.009458166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009458166,0,0,0,0,0,0,0,0,0,0,0
2000,8,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02790638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,8,26,0,0,0,0.000902175,0.006315228,0,0,0,0,0,0,0,0.021652209,0.006315228,0,0,0.000902175,0,0,0.003608702,0.01172828,0.008119579,0,0,0.002706526,0.001804351,0,0,0,0,0,0,0,0,0,0,0,0,0.003608702,0,0.000902175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001804351,0,0,0,0,0,0,0,0,0,0,0
2000,8,26,0,0,0.035854346,0,0,0,0,0,0,0,0,0,0.125490212,0,0,0,0,0,0,0,0.035854346,0,0,0,0,0,0,0,0,0,0.017927173,0.017927173,0,0,0,0.035854346,0,0,0,0.035854346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,9,13,0,0,0.004771482,0,0.004771482,0,0,0,0,0.004771482,0,0.019085927,0.119287045,0.004771482,0,0,0,0,0,0.009542964,0.028628891,0.033400373,0,0,0,0,0,0,0,0,0,0.004771482,0,0,0,0,0,0.009542964,0.004771482,0.009542964,0,0.004771482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004771482,0,0,0,0,0,0,0,0,0,0,0
2001,6,6,0,0,0.023592224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047184447,0,0,0,0,0.047184447,0.023592224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,6,6,0,0,0,0,0.047266897,0.011816724,0,0,0,0,0,0,0.22451776,0.118167242,0,0,0,0,0,0,0,0.011816724,0,0,0,0.035450173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,6,6,0,0,0,0.001308117,0.005232468,0.010464935,0.001308117,0,0,0.003924351,0.003924351,0.052324677,0.154357798,0.006540585,0,0,0.002616234,0,0,0.014389286,0.035319157,0.108573705,0.005232468,0,0,0.006540585,0,0,0,0,0.001308117,0.001308117,0,0,0,0,0.001308117,0.002616234,0,0.002616234,0,0,0,0,0,0,0,0,0,0,0,0.001308117,0,0,0,0,0,0,0,0,0.003924351,0.056249028,0,0,0,0,0,0,0,0,0,0,0
2001,6,6,0,0,0,0,0,0,0,0,0,0,0,0.111358389,0.556791943,0.027839597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013919799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,6,6,0,0,0.002280097,0.004560194,0.004560194,0.002280097,0,0,0,0.002280097,0,0.246250463,0.029641259,0.009120388,0.002280097,0,0.002280097,0,0,0.002280097,0.020520872,0.059282519,0.002280097,0,0,0.002280097,0,0,0,0.004560194,0.006840291,0.002280097,0,0,0,0,0.002280097,0,0,0,0,0,0,0.002280097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020520872,0,0,0,0,0,0,0,0,0,0,0
2001,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0.970466236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033464353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,6,8,0,0,0,0,0.136573931,0.105844797,0,0,0,0.006828697,0.02048609,0.160474369,0.163888718,0.013657393,0,0,0,0,0.003414348,0.006828697,0.02048609,0.058043921,0,0,0,0.003414348,0,0,0,0,0,0.003414348,0,0,0,0,0,0,0.003414348,0.010243045,0.006828697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017071741,0,0,0,0,0,0,0,0,0,0,0
2001,6,8,0,0,0,0,0.052930295,0,0.052930295,0,0,0,0,0,0.688093838,0,0,0,0,0,0,0,0.052930295,0,0,0,0.052930295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052930295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,6,8,0,0,0,0,0.189082092,0,0.013505864,0,0,0,0,0.243105547,0.081035182,0,0,0,0,0,0,0,0,0.040517591,0,0,0,0.040517591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013505864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,6,8,0,0,0,0,0.014788017,0.014788017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177456209,0,0,0,0,0.014788017,0,0,0,0,0,0,0,0.014788017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029576035,0,0,0,0,0,0,0,6.447575584,0.192244226,0,0
2001,6,8,0,0,0,0,0,0,0,0,0,0,0.058098386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116196773,0,0,0,0,0,0,0,0,0,0,0.058098386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116196773,0,0,0,0,0,0,0,6.100330568,0.232393545,0,0
2001,6,8,0,0,0.007595265,0.006076212,0.004557159,0,0,0,0,0,0.001519053,0.100257503,0.071395495,0.001519053,0,0,0,0,0.004557159,0.010633372,0.012152425,0.124562353,0.007595265,0,0,0.036457274,0,0,0,0,0,0.003038106,0,0,0,0.003038106,0,0,0.009114318,0.003038106,0,0.001519053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021266743,0,0,0,0,0,0,0,0,0,0,0
2001,6,8,0,0,0,0.006353297,0.006353297,0.006353297,0.006353297,0,0,0,0.006353297,0.088946158,0.114359346,0,0,0,0,0,0,0,0.006353297,0.165185722,0.012706594,0,0,0.006353297,0,0,0,0,0,0.006353297,0,0,0,0,0,0.006353297,0.025413188,0.006353297,0,0.006353297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019059891,0,0,0,0,0,0,0,0,0,0,0
